 ,Area,Mean,StdDev,Mode,X,Y,Polygon-Nr
1,0.148,0,0,0,2193,616,1
2,0.171,0,0,0,2199,768,2
3,0.160,0,0,0,2203,874,3
4,0.141,0,0,0,2197,970,4
5,0.119,0,0,0,2203,1084,5
6,0.186,0,0,0,2205,1194,6
7,0.215,0,0,0,2211,1358,7
8,0.227,0,0,0,2217,1496,8
9,0.184,0,0,0,2219,1622,9
10,0.245,0,0,0,2225,1772,10
11,0.088,0,0,0,2217,1868,11
12,0.263,0,0,0,2231,2088,12
13,0.222,0,0,0,2229,2250,13
14,0.292,0,0,0,2233,2482,14
15,0.220,0,0,0,2243,2630,15
16,0.195,0,0,0,2247,2782,16
17,0.181,0,0,0,2247,2900,17
18,2.041E-6,0,0,0,2253,3064,18
19,2.041E-6,0,0,0,2253,3178,19
20,0.473,0,0,0,2261,3524,20
21,0.267,0,0,0,2265,3758,21
22,2.041E-6,0,0,0,2267,3938,22
23,0.154,0,0,0,2273,4070,23
24,2.041E-6,0,0,0,2277,4214,24
25,0.200,0,0,0,2277,4354,25
26,0.347,0,0,0,2285,4692,26
27,0.189,0,0,0,2295,4860,27
28,0.677,0,0,0,2299,5252,28
29,2.041E-6,0,0,0,2309,5546,29
30,0.240,0,0,0,2311,5668,30
31,0.488,0,0,0,2323,6070,31
32,0.520,0,0,0,2331,6466,32
33,0.410,0,0,0,2333,6808,33
34,0.008,0,0,0,2558,1536,34
35,0.012,0,0,0,2546,1544,35
36,0.022,0,0,0,2846,1591,36
37,0.019,0,0,0,2658,1732,37
38,0.011,0,0,0,2484,1770,38
39,0.145,0,0,0,2270,1852,39
40,0.012,0,0,0,2572,1996,40
41,0.036,0,0,0,2436,2194,41
42,0.011,0,0,0,2596,2164,42
43,0.025,0,0,0,2716,2150,43
44,0.013,0,0,0,2842,2238,44
45,0.015,0,0,0,2789,2368,45
46,0.015,0,0,0,2247,2778,46
47,0.020,0,0,0,2509,2680,47
48,0.044,0,0,0,2643,2662,48
49,0.008,0,0,0,2247,2802,49
50,0.000,0,0,0,2534,2689,50
51,0.039,0,0,0,2580,2675,51
52,2.041E-6,0,0,0,2259,2915,52
53,0.023,0,0,0,2559,2827,53
54,0.069,0,0,0,2619,2803,54
55,0.011,0,0,0,2641,2996,55
56,0.030,0,0,0,2772,3095,56
57,0.043,0,0,0,2843,3433,57
58,0.015,0,0,0,2317,3717,58
59,0.028,0,0,0,2291,3849,59
60,0.018,0,0,0,2353,4003,60
61,0.008,0,0,0,2705,3883,61
62,0.030,0,0,0,2434,4099,62
63,0.025,0,0,0,2548,4017,63
64,0.009,0,0,0,2714,3903,64
65,0.010,0,0,0,2956,3885,65
66,0.005,0,0,0,2368,4163,66
67,0.028,0,0,0,2490,4087,67
68,0.002,0,0,0,2438,4237,68
69,0.013,0,0,0,2530,4133,69
70,0.031,0,0,0,2824,4165,70
71,0.016,0,0,0,2283,4357,71
72,0.048,0,0,0,2421,4267,72
73,0.014,0,0,0,2393,4567,73
74,0.012,0,0,0,2659,4406,74
75,0.072,0,0,0,2453,4522,75
76,0.175,0,0,0,2295,4875,76
77,0.061,0,0,0,2973,4893,77
78,0.110,0,0,0,2307,5444,78
79,0.051,0,0,0,2715,5286,79
80,0.030,0,0,0,2829,5038,80
81,0.012,0,0,0,2973,4948,81
82,0.036,0,0,0,2939,5464,82
83,0.138,0,0,0,2334,6341,83
84,0.045,0,0,0,2814,6269,84
85,0.050,0,0,0,2916,5879,85
86,0.186,0,0,0,2352,6449,86
