Area;X;Y;Polygon-Nr;Year
0.008;2558;1536;34;2015
0.012;2546;1544;35;2014
0.022;2846;1591;36;2014
0.019;2658;1732;37;2013
0.011;2484;1770;38;2013
0.145;2270;1852;39;2012
0.012;2572;1996;40;2011
0.036;2436;2194;41;2010
0.011;2596;2164;42;2010
0.025;2716;2150;43;2010
0.013;2842;2238;44;2010
0.015;2789;2368;45;2009
0.015;2247;2778;46;2008
0.020;2509;2680;47;2008
0.044;2643;2662;48;2008
0.008;2247;2802;49;2007
0.000;2534;2689;50;2007
0.039;2580;2675;51;2007
0.04;2259;2915;52;2006
0.023;2559;2827;53;2006
0.069;2619;2803;54;2006
0.011;2641;2996;55;2005
0.030;2772;3095;56;2004
0.043;2843;3433;57;2003
0.015;2317;3717;58;2003
0.028;2291;3849;59;2002
0.018;2353;4003;60;2001
0.008;2705;3883;61;2001
0.030;2434;4099;62;2000
0.025;2548;4017;63;2000
0.009;2714;3903;64;2000
0.010;2956;3885;65;2000
0.005;2368;4163;66;1999
0.028;2490;4087;67;1999
0.002;2438;4237;68;1999
0.013;2530;4133;69;1999
0.031;2824;4165;70;1999
0.016;2283;4357;71;1998
0.048;2421;4267;72;1998
0.014;2393;4567;73;1998
0.012;2659;4406;74;1998
0.072;2453;4522;75;1997
0.175;2295;4875;76;1996
0.061;2973;4893;77;1996
0.110;2307;5444;78;1995
0.051;2715;5286;79;1995
0.030;2829;5038;80;1995
0.012;2973;4948;81;1995
0.036;2939;5464;82;1994
0.138;2334;6341;83;1993
0.045;2814;6269;84;1993
0.050;2916;5879;85;1993
0.186;2352;6449;86;1992
