Area;X;Y;Polygon-Nr;Year
0.148;2193;616;1;2023
0.171;2199;768;2;2022
0.160;2203;874;3;2021
0.141;2197;970;4;2020
0.119;2203;1084;5;2019
0.186;2205;1194;6;2018
0.215;2211;1358;7;2017
0.227;2217;1496;8;2016
0.184;2219;1622;9;2015
0.245;2225;1772;10;2014
0.088;2217;1868;11;2013
0.263;2231;2088;12;2012
0.222;2229;2250;13;2011
0.292;2233;2482;14;2010
0.220;2243;2630;15;2009
0.195;2247;2782;16;2008
0.181;2247;2900;17;2007
0.221;2253;3064;18;2006
0.179;2253;3178;19;2005
0.473;2261;3524;20;2004
0.267;2265;3758;21;2003
0.157;2267;3938;22;2002
0.154;2273;4070;23;2001
0.2;2277;4214;24;2000
0.200;2277;4354;25;1999
0.347;2285;4692;26;1998
0.189;2295;4860;27;1997
0.677;2299;5252;28;1996
0.251;2309;5546;29;1995
0.240;2311;5668;30;1994
0.488;2323;6070;31;1993
0.520;2331;6466;32;1992
0.410;2333;6808;33;1991
