 ,Area,Mean,StdDev,Mode,X,Y,Polygon-Nr
1,0.456,0,0,0,2805,1052,1
2,0.221,0,0,0,2817,1328,2
3,0.189,0,0,0,2829,1584,3
4,0.156,0,0,0,2837,1756,4
5,0.271,0,0,0,2845,2096,5
6,0.363,0,0,0,2865,2480,6
7,0.245,0,0,0,2865,2696,7
8,0.091,0,0,0,2873,2824,8
9,0.092,0,0,0,2881,2936,9
10,8.146E-7,0,0,0,2893,3100,10
11,0.170,0,0,0,2897,3284,11
12,0.148,0,0,0,2909,3644,12
13,0.236,0,0,0,2921,3860,13
14,0.353,0,0,0,2945,4192,14
15,0.183,0,0,0,2953,4568,15
16,0.189,0,0,0,2969,4808,16
17,0.325,0,0,0,2977,5148,17
18,8.146E-7,0,0,0,2981,5376,18
19,0.233,0,0,0,3009,5852,19
20,0.178,0,0,0,3013,6084,20
21,0.257,0,0,0,3021,6352,21
22,0.301,0,0,0,3037,6716,22
23,8.146E-7,0,0,0,3057,7180,23
24,0.402,0,0,0,3069,7624,24
25,0.232,0,0,0,3421,7692,25
26,0.130,0,0,0,3581,7732,26
27,0.003,0,0,0,3793,1704,27
28,0.018,0,0,0,3061,2204,28
29,0.022,0,0,0,3405,2104,29
30,0.015,0,0,0,3601,2084,30
31,0.000,0,0,0,3889,2148,31
32,0.029,0,0,0,3777,2580,32
33,0.012,0,0,0,3295,2699,33
34,0.014,0,0,0,3469,2708,34
35,0.013,0,0,0,3712,2723,35
36,0.010,0,0,0,3778,3179,36
37,0.018,0,0,0,3055,3357,37
38,0.014,0,0,0,3157,3534,38
39,0.069,0,0,0,3301,3582,39
40,0.000,0,0,0,3165,3756,40
41,0.052,0,0,0,3561,3771,41
42,0.024,0,0,0,3900,3768,42
43,0.088,0,0,0,3175,3800,43
44,0.040,0,0,0,3619,3779,44
45,0.033,0,0,0,3811,3815,45
46,0.010,0,0,0,2990,4321,46
47,0.020,0,0,0,3134,4345,47
48,0.014,0,0,0,3626,4189,48
49,0.033,0,0,0,3854,4138,49
50,0.042,0,0,0,3320,4632,50
51,0.047,0,0,0,3635,4560,51
52,0.011,0,0,0,3159,5264,52
53,0.036,0,0,0,3645,4916,53
54,0.014,0,0,0,3431,5355,54
55,0.012,0,0,0,3481,5203,55
56,0.017,0,0,0,3697,5323,56
57,0.031,0,0,0,3436,5354,57
58,0.025,0,0,0,3742,5320,58
59,0.014,0,0,0,2988,5628,59
60,0.027,0,0,0,3225,5731,60
61,0.009,0,0,0,3419,5677,61
62,0.023,0,0,0,3693,5695,62
63,0.024,0,0,0,3941,6338,63
