 ,Area,Mean,StdDev,Mode,X,Y,Polygon-Nr
1,1.000E-6,0,0,0,2607,1368,1
2,1.000E-6,0,0,0,2603,1730,2
3,0.256,0,0,0,2601,1996,3
4,1.000E-6,0,0,0,2597,2306,4
5,1.000E-6,0,0,0,2595,2424,5
6,1.000E-6,0,0,0,2595,2608,6
7,1.000E-6,0,0,0,2591,2846,7
8,1.000E-6,0,0,0,2589,2944,8
9,1.000E-6,0,0,0,2587,3200,9
10,1.000E-6,0,0,0,2585,3354,10
11,1.000E-6,0,0,0,2585,3542,11
12,1.000E-6,0,0,0,2577,3738,12
13,0.334,0,0,0,2575,4080,13
14,1.000E-6,0,0,0,2579,4390,14
15,0.241,0,0,0,2579,4652,15
16,1.000E-6,0,0,0,2569,4796,16
17,0.305,0,0,0,2565,5178,17
18,0.319,0,0,0,2563,5480,18
19,0.277,0,0,0,2551,5852,19
20,0.119,0,0,0,2553,5966,20
21,0.289,0,0,0,2549,6188,21
22,0.354,0,0,0,2545,6508,22
23,0.144,0,0,0,2549,6654,23
24,0.151,0,0,0,2543,6842,24
25,0.205,0,0,0,2543,7022,25
26,0.265,0,0,0,2541,7244,26
27,1.000E-6,0,0,0,3066,680,27
28,0.068,0,0,0,3201,854,28
29,0.045,0,0,0,2601,1370,29
30,0.028,0,0,0,3141,1259,30
31,0.041,0,0,0,3528,1235,31
32,0.017,0,0,0,2726,1672,32
33,0.021,0,0,0,2938,1610,33
34,0.009,0,0,0,3028,1606,34
35,0.004,0,0,0,3160,1604,35
36,0.006,0,0,0,3166,1686,36
37,0.013,0,0,0,3268,1604,37
38,0.011,0,0,0,3406,1630,38
39,0.010,0,0,0,3448,1732,39
40,1.000E-6,0,0,0,2677,1997,40
41,0.007,0,0,0,2773,1917,41
42,0.023,0,0,0,3013,1935,42
43,0.006,0,0,0,3133,1855,43
44,0.016,0,0,0,3227,2019,44
45,0.026,0,0,0,3317,2003,45
46,0.042,0,0,0,3439,2191,46
47,0.016,0,0,0,3007,2171,47
48,0.013,0,0,0,3065,2193,48
49,0.027,0,0,0,3291,2175,49
50,0.022,0,0,0,2923,2341,50
51,0.053,0,0,0,3157,2335,51
52,0.011,0,0,0,3519,2391,52
53,0.028,0,0,0,3066,2494,53
54,0.034,0,0,0,3336,2566,54
55,0.009,0,0,0,3262,2784,55
56,0.011,0,0,0,3356,2810,56
57,0.000,0,0,0,2618,2956,57
58,0.088,0,0,0,3080,2914,58
59,0.044,0,0,0,3152,3092,59
60,0.101,0,0,0,2586,3536,60
61,0.013,0,0,0,2586,3658,61
62,0.114,0,0,0,2866,3438,62
63,0.004,0,0,0,2690,3756,63
64,0.220,0,0,0,2738,3740,64
65,0.023,0,0,0,2782,3970,65
66,0.119,0,0,0,2568,4346,66
67,0.014,0,0,0,3356,3966,67
68,0.028,0,0,0,3572,4054,68
69,0.020,0,0,0,3182,4204,69
70,0.030,0,0,0,2571,4656,70
71,0.012,0,0,0,2861,4272,71
72,0.028,0,0,0,3115,4216,72
73,0.035,0,0,0,3211,4222,73
74,0.012,0,0,0,3045,4480,74
75,0.013,0,0,0,3545,4492,75
76,0.123,0,0,0,2571,4790,76
77,0.178,0,0,0,2645,4760,77
78,0.065,0,0,0,2571,5200,78
79,0.013,0,0,0,2991,4914,79
80,0.041,0,0,0,3285,4880,80
81,0.017,0,0,0,3371,5004,81
82,0.040,0,0,0,3455,4918,82
83,0.096,0,0,0,2642,5763,83
84,0.063,0,0,0,3228,5457,84
85,0.010,0,0,0,3214,5217,85
86,0.018,0,0,0,2557,5954,86
87,0.009,0,0,0,2861,5560,87
88,0.012,0,0,0,3153,5512,88
89,0.010,0,0,0,3263,5464,89
90,0.062,0,0,0,2554,6172,90
91,0.012,0,0,0,3042,5616,91
92,0.076,0,0,0,3274,5586,92
93,0.011,0,0,0,3320,5906,93
94,0.107,0,0,0,2553,6201,94
95,0.037,0,0,0,3233,5911,95
96,1.000E-6,0,0,0,3549,5969,96
97,0.000,0,0,0,3015,6283,97
98,0.022,0,0,0,3407,6295,98
99,0.010,0,0,0,2552,6699,99
100,1.000E-6,0,0,0,2554,6897,100
101,0.030,0,0,0,2654,6937,101
102,0.007,0,0,0,2910,6833,102
103,0.025,0,0,0,3188,6793,103
104,0.015,0,0,0,3488,6823,104
